iter	Passed	Remaining
0	58	57950
1	58	29111
2	58	19488
3	58	14680
4	59	11793
5	59	9873
6	59	8498
7	60	7470
8	60	6687
9	61	6044
10	61	5517
11	61	5085
12	62	4712
13	62	4393
14	62	4123
15	63	3881
16	63	3668
17	63	3479
18	64	3309
19	64	3156
20	64	3017
21	65	2890
22	65	2776
23	65	2670
24	66	2574
25	66	2483
26	66	2399
27	66	2321
28	67	2248
29	67	2181
30	67	2119
31	68	2059
32	68	2003
33	68	1950
34	68	1900
35	69	1853
36	69	1810
37	69	1769
38	70	1729
39	70	1694
40	70	1658
41	71	1624
42	71	1591
43	71	1559
44	72	1529
45	72	1500
46	72	1473
47	72	1447
48	73	1422
49	73	1398
50	73	1375
51	74	1352
52	74	1330
53	74	1309
54	75	1290
55	75	1270
56	75	1252
57	75	1233
58	76	1215
59	76	1200
60	76	1184
61	77	1167
62	77	1152
63	77	1136
64	78	1122
65	78	1109
66	78	1095
67	78	1082
68	79	1069
69	79	1056
70	79	1043
71	80	1031
72	80	1020
73	80	1008
74	80	997
75	81	986
76	81	976
77	81	965
78	81	955
79	82	945
80	82	936
81	82	926
82	82	915
83	83	906
84	83	898
85	83	889
86	84	882
87	84	874
88	84	866
89	84	858
90	85	851
91	85	843
92	85	836
93	86	829
94	86	822
95	86	816
96	86	809
97	87	802
98	87	796
99	87	790
100	88	783
101	88	778
102	88	773
103	89	767
104	89	761
105	89	755
106	89	750
107	90	744
108	90	739
109	90	734
110	91	729
111	91	724
112	91	719
113	91	714
114	92	709
115	92	704
116	92	699
117	92	695
118	93	690
119	93	685
120	93	681
121	94	676
122	94	672
123	94	668
124	94	663
125	95	659
126	95	655
127	95	651
128	95	647
129	96	643
130	96	639
131	96	635
132	96	632
133	97	628
134	97	624
135	97	621
136	98	617
137	98	614
138	98	611
139	98	607
140	99	604
141	99	600
142	99	596
143	99	593
144	100	590
145	100	588
146	100	585
147	101	581
148	101	578
149	101	576
150	101	573
151	102	570
152	102	567
153	102	564
154	102	561
155	103	558
156	103	555
157	103	552
158	104	550
159	104	547
160	104	544
161	104	541
162	105	539
163	105	536
164	105	534
165	105	531
166	106	528
167	106	526
168	106	524
169	106	521
170	107	519
171	107	517
172	107	515
173	108	512
174	108	510
175	108	508
176	108	506
177	109	504
178	109	502
179	109	500
180	110	498
181	110	496
182	110	493
183	110	491
184	111	489
185	111	487
186	111	485
187	111	483
188	112	481
189	112	479
190	112	477
191	113	476
192	113	474
193	113	472
194	113	470
195	114	468
196	114	466
197	114	465
198	115	463
199	115	461
200	115	459
201	116	458
202	116	457
203	116	455
204	116	453
205	117	451
206	117	450
207	117	448
208	118	446
209	118	445
210	118	443
211	118	442
212	119	440
213	119	439
214	120	438
215	120	436
216	120	435
217	120	433
218	121	432
219	121	430
220	121	428
221	121	427
222	122	426
223	122	424
224	122	423
225	123	421
226	123	420
227	123	418
228	124	417
229	124	416
230	124	414
231	124	413
232	125	412
233	125	411
234	125	409
235	126	408
236	126	407
237	126	405
238	127	404
239	127	403
240	127	401
241	127	400
242	128	399
243	128	397
244	128	396
245	128	395
246	129	393
247	129	392
248	129	391
249	130	390
250	130	388
251	130	387
252	130	386
253	131	385
254	131	384
255	131	383
256	132	382
257	132	381
258	132	380
259	133	378
260	133	377
261	133	376
262	134	375
263	134	374
264	134	373
265	134	372
266	135	371
267	135	369
268	135	368
269	135	367
270	136	366
271	136	365
272	136	364
273	137	363
274	137	362
275	137	361
276	137	360
277	138	358
278	138	357
279	138	356
280	139	355
281	139	354
282	139	353
283	139	352
284	140	351
285	140	350
286	140	349
287	141	348
